block_timestamp,transaction_hash,topic_0,event_type,raw_data_hex
2025-12-01 23:26:53 UTC,0x0af975005dc2ccfcb9b358727987a04974feaeeded640d42d230ea3b20def1ad,0x32ed1a409ef04c7b0227189c3a103dc5ac10e775a15b785dcc510201f7c25ad3,FundsDeposited (v1_bytes32),0x000000000000000000000000fd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb900000000000000000000000094b008aa00579c1307b0ef2c499ad98a8ce58e580000000000000000000000000000000000000000000000000000000002f2d3f90000000000000000000000000000000000000000000000000000000002f251d200000000000000000000000000000000000000000000000000000000692e232300000000000000000000000000000000000000000000000000000000692e475c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000089dcf565f51ec120c9bd940a543eb3fea8bec162000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001400000000000000000000000000000000000000000000000000000000000000000
2025-02-07 14:51:24 UTC,0xe8a18fdaa8fa01c0accc94b3892c0a4411512d242933f2051444324d4b3697eb,0xa123dc29aebf7d0c3322c8eeb5b999e859f39937950ed31056532713d0de396f,V3FundsDeposited,0x00000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab100000000000000000000000042000000000000000000000000000000000000060000000000000000000000000000000000000000000000000004c2b90fffc0000000000000000000000000000000000000000000000000000004bebfab1aebe60000000000000000000000000000000000000000000000000000000067a61cd70000000000000000000000000000000000000000000000000000000067a663270000000000000000000000000000000000000000000000000000000067a61dec0000000000000000000000004d27b998c4f867d4dccd47043e4a249a6d7b3e78000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001400000000000000000000000000000000000000000000000000000000000000000
2024-02-21 18:09:28 UTC,0xca64d57c9bcb2b84cd130f89c81584aac41c0c6712c7d04d0a05cea87a387480,0xafc4df6845a4ab948b492800d3d8a25d538a102a2bc07cd01f1cfa097fddcff6,FundsDeposited (v2_uint256),0x00000000000000000000000000000000000000000000000006f05b59d3b20000000000000000000000000000000000000000000000000000000000000000a4b10000000000000000000000000000000000000000000000000037b3d18cdb5cbc0000000000000000000000000000000000000000000000000000000065d63a2000000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab1000000000000000000000000708f741b5fa76c9f4a70355207b4f0226ce265f300000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000000000000000000000000000000000000000

2025-02-07 14:51:14 UTC,0x282575700038bcff1fe28c59104ca458c527ab29e52078ef931d69c7bc4b3aaf,0x571749edf1d5c9599318cdbc4e28a6475d65e87fd3b2ddbe1e9a8d5e7a0f0ff7,FilledV3Relay,0x000000000000000000000000420000000000000000000000000000000000000600000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab100000000000000000000000000000000000000000000000000232bff5f46c000000000000000000000000000000000000000000000000000002324c4e91964e900000000000000000000000000000000000000000000000000000000000021050000000000000000000000000000000000000000000000000000000067a640f9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005340f36fb3b5d389cd483a29aea6051d7b416bb50000000000000000000000005340f36fb3b5d389cd483a29aea6051d7b416bb5000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005340f36fb3b5d389cd483a29aea6051d7b416bb50000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000002324c4e91964e900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2025-12-02 07:38:24 UTC,0x22b1adb8f52eae8331409a5360f230967e3ee55f073ebd7568192a9641b265d9,0x44b559f101f8fbcc8a0ea43fa91a05a729a5ea6e14a7c75aa750374690137208,FilledRelay (v1_bytes32),0x00000000000000000000000055d398326f99059ff775485246999027b3197955000000000000000000000000fd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb90000000000000000000000000000000000000000000000001069a155ac13ca3c000000000000000000000000000000000000000000000000000000000011b386000000000000000000000000000000000000000000000000000000000000003800000000000000000000000000000000000000000000000000000000692eebcf00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000279cf648568a60dd88ed1267a6106b8d1353af7f000000000000000000000000262ada1c35d641a3725e1e3f97779a228f2341212ee3f53b880b2ae4fac72fa101bb69037a30dcf5acd48773db09ba4075ed88ac000000000000000000000000262ada1c35d641a3725e1e3f97779a228f2341212ee3f53b880b2ae4fac72fa101bb69037a30dcf5acd48773db09ba4075ed88ac000000000000000000000000000000000000000000000000000000000011b3860000000000000000000000000000000000000000000000000000000000000000
2024-02-27 03:37:10 UTC,0x5f31b8da08eb10f03cb4b821746f64b7c61a884fd20eb73baea3428ce10f26ca,0x8ab9dc6c19fe88e69bc70221b339c84332752fdd49591b7c51e66bae3947b73c,FilledRelay (v2_uint256),0x00000000000000000000000000000000000000000000000000b1a2bc2ec5000000000000000000000000000000000000000000000000000000b1a2bc2ec5000000000000000000000000000000000000000000000000000000b1a2bc2ec50000000000000000000000000000000000000000000000000000000000000000a4b1000000000000000000000000000000000000000000000000000000000000a4b10000000000000000000000000000000000000000000000000011986f4b0ea93400000000000000000000000000000000000000000000000000016b90ac92283200000000000000000000000082af49447d8a07e3bd95bd0d56f35241523fbab10000000000000000000000009a8f92a830a5cb89a3816e3d267cb7791c16b04d000000000000000000000000e0b015e54d54fc84a6cb9b666099c46ade9335ff000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001c0000000000000000000000000000000000000000000000000000000000000000212340000000000000000000000000000000000000000000000000000000000000000000000000000000000009a8f92a830a5cb89a3816e3d267cb7791c16b04d00000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000011986f4b0ea934000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000

2025-02-07 14:36:13 UTC,0xdf8039a5f3be512a418b4ddec5b696bb419918880d75e76b8e99d67969de6260,0xf8bd640004bcec1b89657020f561d0b070cbdf662d0b158db9dccb0a8301bfab,ExecutedRelayerRefundRoot (v1),0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000cf934e2402a5e072928a39a956964eb8f2b5b79c00000000000000000000000000000000000000000000000000000000000000e0000000000000000000000000f7bac63fc7ceacf0589f25454ecf5c2ce904997c00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000008d7209a8e4dde2080000000000000000000000000000000000000000000000000000000000000001000000000000000000000000e7488e7f5c60bfa81d38965c02b4cc5aa6249a11
2025-12-02 07:23:16 UTC,0xb37ab40579abc76e62b45bf0b967a5e00af9669522106a52dfffb632742fe138,0xf4ad92585b1bc117fbdd644990adf0827bc4c95baeae8a23322af807b6d0020e,ExecutedRelayerRefundRoot (v2),0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000af88d065e77c8cc2239327c5edb3a432268e583100000000000000000000000000000000000000000000000000000000000001c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f7bac63fc7ceacf0589f25454ecf5c2ce904997c0000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000011b9c317700000000000000000000000000000000000000000000000000000000db423759000000000000000000000000000000000000000000000000000000004009f7a6000000000000000000000000000000000000000000000000000000000dd4883c000000000000000000000000000000000000000000000000000000000b79acc1000000000000000000000000000000000000000000000000000000000785147c00000000000000000000000000000000000000000000000000000000016c35070000000000000000000000000000000000000000000000000000000000000007000000000000000000000000cad97616f91872c02ba3553db315db4015cbe850000000000000000000000000394311a6aaa0d8e3411d8b62de4578d41322d1bd000000000000000000000000ef1ec136931ab5728b0783fd87d109c9d15d31f1000000000000000000000000852f57dd17edbb0bedae8c55dd4b20feb3133089000000000000000000000000699ee12a1d97437a4a1e87c71e5d882b3881e2e300000000000000000000000007ae8551be970cb1cca11dd7a11f47ae82e70e67000000000000000000000000eff7337b37c8d217d01cb8223fe497abd75190d5
2025-12-02 07:19:07 UTC,0xf40b9682bdd0f3780446845f4ecaa099a6e2d25d7e70b8af519fe4fc4a2de3f5,0xc86ba04c55bc5eb2f2876b91c438849a296dbec7b08751c3074d92e04f0a77af,RelayedRootBundle,0x